codigo,materia
FIEC00380,ANTENAS
FIEC04952,COMUNICACIONES ANALÓGICAS
FIEC04960,COMUNICACIONES DIGITALES
FIEC04408,COMUNICACIONES INALÁMBRICAS
FIEC04994,COMUNICACIONES ÓPTICAS
FIEC03194,COMUNICACIONES SATELITALES 
FIEC01537,CONSTRUCCIONES ELECTRÓNICAS
FIEC07021,DISEÑO E IMPLEMENTACIÓN DE APLICACIONES SS7 DE UNA RED CELULAR
FIEC00885,ELECTRÓNICA MÉDICA
FIEC03012,ESTRUCTURAS DE DATOS
FIEC07047,FUENTE DE ALIMENTACIÓN CONMUTADAS
FIEC04341,FUNDAMENTOS DE PROGRAMACIÓN 
FIEC05579,FUNDAMENTOS DE ROBÓTICA
FIEC07005,INSTRUMENTACIÓN CLÍNICA Y TELEMEDICINA
FIEC05009,LABORATORIO DE TELECOMUNICACIONES
FIEC05348,MARCO REGULATORIO DE LAS TELECOMUNICACIONES
FIEC03236,PROBABILIDADES Y PROCESOS ESTOCÁSTICOS
FIEC06015,PROBLEMAS ESPECIALES DE INGENIERÍA EN TELECOMUNICACIONES
FIEC04622,PROGRAMACIÓN ORIENTADA A OBJETOS
FIEC00729,PROPAGACIÓN
FIEC06973,PROYECTOS DE TELEVISIÓN
FIEC04978,REDES DE DATOS I
FIEC05041,REDES DE DATOS II
FIEC05058,SISTEMAS LINEALES
FIEC04986,TELEFONÍA DIGITAL
FIEC00869,TELEVISIÓN
FIEC06924,USO EFICIENTE DEL ESPECTRO 
FIEC01735,ANÁLISIS DE REDES ELÉCTRICAS I
FIEC01784,ANÁLISIS DE REDES ELÉCTRICAS II
FIEC03418,CONTROL AUTOMÁTICO 
FIEC01537,CONSTRUCCIONES ELECTRÓNICAS 
FIEC00075,ELECTRÓNICA I
FIEC00190,ELECTRÓNICA II
FIEC01388,ELECTRÓNICA III 
FIEC01099,LABORATORIO DE ELECTRÓNICA A 
FIEC01347,LABORATORIO DE ELECTRÓNICA B
FIEC01800,LABORATORIO DE REDES ELÉCTRICAS
FIEC00679,LABORATORIO DE SISTEMAS DIGITALES
FIEC05561,MICROCONTROLADORES
FIEC00760,MICROPROCESADORES
FIEC00299,SISTEMAS DIGITALES I
FIEC00745,SISTEMAS DIGITALES II
FIEC03426,TEORÍA ELECTROMAGNÉTICA I
FIEC03442,TEORÍA ELECTROMAGNÉTICA II
