nombre_materia,codigo_materia,creditos_teoricos,creditos_practicos
ACCIONAMIENTOS INDUSTRIALES,PRTEL02584,3,0
ACERCAMIENTO A LA LITERATURA LATINOAMERICANA CONTEMPORÁNEA,ICHE05074,3,0
Actividades de extensiÃ³n y perfeccionamiento I,FCV000182,0,0
Actividades de extensiÃ³n y perfeccionamiento II,FCV000190,0,0
ACUIC.AGUA DULCE,FMAR02683,4,2
ACUIC.AGUA SALADA,FMAR02477,3,2
ACUIC.DE AGUA DULCE I,FMAR01743,3,1
ACUIC.DE AGUA DULCE II,FMAR01792,3,2
ACUICULTURA ORNAMENTAL,FMAR04663,3,1
ADITIVOS Y AUXILIARES ALIMENTARIOS,FIMP07484,3,0
ADM.BASES DATOS(TN),PRTCO02063,0,0
ADM.CALIDAD SECTOR TURÍSTICO,FMAR03632,4,0
ADM DE LAS ORGANIZACIONES DE SALUD,ESPAE001735,0,0
ADM. DEL SUELO Y SU FERTILIZACIÓN,ICHE03335,3,0
ADM DE OPERACIONES,ESPAE001859,0,0
ADM DE RECURSOS FINANCIEROS,ESPAE000802,0,0
ADM.DIQUES Y ASTILL.(INR),FMAR03202,3,0
ADM.DOCUMENTOS(TJ),PRTCO01941,0,0
ADM.EMP.ACUIC.I,FMAR02352,3,0
ADM.EMP.ACUIC.II,FMAR02410,3,2
ADM.EMP.TURIST.,FMAR02873,4,0
ADM.FINANCIERA INTERNACIONAL,ICHE03871,4,0
ADMINIST.AGROPECUARIA,FIMP06221,3,0
ADMINIST.DE EMPRESAS TURÍSTICAS I,FMAR04424,4,0
ADMINIST.DE EMPRESAS TURÍSTICAS II,FMAR04432,4,0
ADMINISTRAC.CENTRO CÓMPUT. (AUDIT.),FIEC05330,4,0
ADMINISTRACIÓN,ESPAE002840,0,0
ADMINISTRACIÓN,ICHE01693,4,0
ADMINISTRACIÓN APLICADA,ICHE03863,3,0
ADMINISTRACIÓN DE EMPRESAS,ICHE00448,4,0
ADMINISTRACIÓN DE EMPRESAS ACUÍCOLAS,FMAR04630,4,0
ADMINISTRACIÓN DE EMPRESAS PESQUERAS,FMAR04721,2,2
ADMINISTRACIÓN DE EMPRESAS Y RECURSOS HUMANOS,ICHE02659,3,0
ADMINISTRACIÓN DE LA PRODUCCIÓN,PRTAL00836,3,0
ADMINISTRACIÓN DE LAS PYMES,FIEC06262,4,0
ADMINISTRACIÓN DEL DISEÑO,EDCOM01115,6,0
ADMINISTRACIÓN DEL NEGOCIO DE LA ENERGÍA ELÉCTRICA,FIEC05975,4,0
ADMINISTRACION DE OPERACIONES,ESPAE001594,0,0
ADMINISTRACION DE OPERACIONES,FIEC001925,0,0
ADMINISTRACIÓN DE OPERACIONES,PRTCO02832,4,0
ADMINISTRACION DE PROCESOS DE NEGOCIO,FIEC001891,0,0
ADMINISTRACION DE PROYECTOS DE SOFTWARE,FIEC001941,0,0
ADMINISTRACIÓN DE RECURSOS HUMANOS,ICHE01420,4,0
