,FIEC04952,FIEC04960,FIEC05603,FIEC05611,FIEC03418,FIEC03012,FIEC05637,FIEC04341,FIEC05645,FIEC05983,FIEC04978,FIEC03236,FIEC04622,FIEC05553,FIEC05355,FIEC05546,FIEC05652,FIEC05058,FIEC05660,FIEC05678,FIEC05785,FIEC01735,FIEC01784,FIEC00075,FIEC00190,FIEC01099,FIEC01800,FIEC00679,FIEC05561,FIEC00760,FIEC00299,FIEC00745,FIEC03426,FIEC03442
FIEC04952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC04960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC05603,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC05611,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC03418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC03012,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC05637,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
FIEC04341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC05645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC05983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC04978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC03236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC04622,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC05553,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
FIEC05355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC05546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC05652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC05058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC05660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC05678,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC05785,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
FIEC01735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC01784,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
FIEC00075,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
FIEC00190,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
FIEC01099,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,
FIEC01800,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
FIEC00679,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
FIEC05561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC00760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEC00299,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
FIEC00745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
FIEC03426,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
FIEC03442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
